prob	bin	prop
0.5	1	1
0.5	2	1
0.5	3	1
0.5	4	1
0.5	5	1
0.5	6	1
0.5	7	1
0.5	8	1
0.5	9	1
0.6	1	0.774959592191968
0.6	2	0.91605556549216
0.6	3	0.952320608268652
0.6	4	0.966857584143124
0.6	5	0.97548080925818
0.6	6	0.979424261230725
0.6	7	0.984274362191552
0.6	8	0.995691808191808
0.6	9	1
0.7	1	0.571055576277508
0.7	2	0.880581887557384
0.7	3	0.936401077142405
0.7	4	0.955080764527962
0.7	5	0.967613021397053
0.7	6	0.973886475390271
0.7	7	0.979171894604768
0.7	8	0.994234931734932
0.7	9	1
0.75	1	0.474449832152182
0.75	2	0.864424968699696
0.75	3	0.929035323934738
0.75	4	0.949996782289723
0.75	5	0.964032969777704
0.75	6	0.971881414999761
0.75	7	0.976746131325805
0.75	8	0.993693806193806
0.75	9	1
0.8	1	0.372622155911973
0.8	2	0.849460442377631
0.8	3	0.92238238555362
0.8	4	0.945749404723599
0.8	5	0.96082757472317
0.8	6	0.969637656943715
0.8	7	0.974529485570891
0.8	8	0.993069430569431
0.8	9	1
0.85	1	0.274897426333458
0.85	2	0.834674774935909
0.85	3	0.917234278472992
0.85	4	0.941630735568569
0.85	5	0.958246607276663
0.85	6	0.966916503556595
0.85	7	0.972563780844835
0.85	8	0.992257742257742
0.85	9	1
0.9	1	0.175183389282606
0.9	2	0.819889107494187
0.9	3	0.910581340091874
0.9	4	0.936739815946972
0.9	5	0.954833069686121
0.9	6	0.964004392037046
0.9	7	0.970263488080301
0.9	8	0.991508491508492
0.9	9	1
0.95	1	0.0798209623274897
0.95	2	0.80063196804388
0.95	3	0.903373990178996
0.95	4	0.931076645858807
0.95	5	0.950753475980351
0.95	6	0.960137489855349
0.95	7	0.96620660811376
0.95	8	0.990863303363303
0.95	9	1
0.99	1	0.0261096605744125
0.99	2	0.773803135992369
0.99	3	0.889909710121971
0.99	4	0.922710599137654
0.99	5	0.943843143784864
0.99	6	0.953406215687211
0.99	7	0.960936846507737
0.99	8	0.988802863802864
0.99	9	1
