bin	ser	count	prob
1	32.6868084048241	2629	0.5
1	28.5416332424194	1779	0.6
1	24.2107554974962	1112	0.7
1	23.0345911949686	879	0.75
1	20.5872539205873	617	0.8
1	18.5888738127544	411	0.85
1	18.6657203690561	263	0.9
1	21.183800623053	136	0.95
1	34.2857142857143	72	0.99
1	40	16	1
2	8.57926429380552	1439	0.5
2	5.71428571428571	878	0.6
2	4.4685172647258	660	0.7
2	3.91751155252086	568	0.75
2	3.41802358225716	487	0.8
2	2.97857142857143	417	0.85
2	2.66870273414776	367	0.9
2	2.29354382306948	308	0.95
2	1.99553124277679	259	0.99
2	53.5714285714286	15	1
3	5.18770790432441	655	0.5
3	3.31004657351963	398	0.6
3	2.75733739321661	326	0.7
3	2.44671781756181	287	0.75
3	2.23252618924953	260	0.8
3	2.03782056817201	236	0.85
3	1.90484474210664	219	0.9
3	1.76223040504997	201	0.95
3	1.61089355642577	181	0.99
3	40	6	1
4	4.23450672501448	658	0.5
4	3.01517571884984	453	0.6
4	2.50656963816454	372	0.7
4	2.29643679718195	339	0.75
4	2.12302667392488	312	0.8
4	1.96145434663751	287	0.85
4	1.80681505908217	263	0.9
4	1.65192148189107	239	0.95
4	1.48556284000558	213	0.99
4	33.3333333333333	2	1
5	3.44267754558322	827	0.5
5	2.38552468740665	559	0.6
5	2.01772500430219	469	0.7
5	1.86112790396407	431	0.75
5	1.74602486893982	403	0.8
5	1.65515443763847	381	0.85
5	1.52591882111872	350	0.9
5	1.42738298524454	326	0.95
5	1.30110704362016	295	0.99
5	0	0	1
6	3.21764453143648	674	0.5
6	2.18853577695457	449	0.6
6	1.91666666666667	391	0.7
6	1.86167599960703	379	0.75
6	1.77736202057998	361	0.8
6	1.69842993976498	344	0.85
6	1.60451641658	324	0.9
6	1.47175815433572	296	0.95
6	1.32692403985779	265	0.99
6	NA	0	1
7	3.51317440401506	840	0.5
7	2.69397467493839	634	0.6
7	2.43037758414488	569	0.7
7	2.30795581056778	539	0.75
7	2.20162224797219	513	0.8
7	2.13726670680313	497	0.85
7	2.03025992499677	471	0.9
7	1.8656393385854	431	0.95
7	1.72353760445682	396	0.99
7	0	0	1
8	2.68273393273393	1289	0.5
8	2.43096925231496	1163	0.6
8	2.31311883778862	1105	0.7
8	2.28505602680909	1091	0.75
8	2.24248139997904	1070	0.8
8	2.19817098749895	1048	0.85
8	2.17254408060453	1035	0.9
8	2.13405028461005	1016	0.95
8	2.07114291728057	984	0.99
8	2.50265043210075	779	1
9	2.4254767635623	1441	0.5
9	2.35309959435121	1398	0.6
9	2.29923751493831	1366	0.7
9	2.29082156503004	1361	0.75
9	2.28577199508508	1358	0.8
9	2.27903923515847	1354	0.85
9	2.27062328525021	1349	0.9
9	2.25884095537863	1342	0.95
9	2.25042500547037	1337	0.99
9	2.30123057758026	1367	1
10	2.09080995340537	2109	0.5
10	2.01153983423881	2029	0.6
10	1.96990125708847	1987	0.7
10	1.95602173137169	1973	0.75
10	1.9490819685133	1966	0.8
10	1.93125601038992	1948	0.85
10	1.91539353802532	1932	0.9
10	1.90748121269803	1924	0.95
10	1.90252414093946	1919	0.99
10	1.93762705141554	1954	1
11	1.53661665458196	3857	0.5
11	1.4784624946216	3711	0.6
11	1.44977769278577	3639	0.7
11	1.44340329237781	3623	0.75
11	1.43384169176587	3599	0.8
11	1.42587369125592	3579	0.85
11	1.42109855260694	3567	0.9
11	1.41432572519054	3550	0.95
11	1.40834970099959	3535	0.99
11	1.42491691969302	3576	1
12	1.01625915843663	4114	0.5
12	0.97550492075412	3949	0.6
12	0.955742856013596	3869	0.7
12	0.94759100430813	3836	0.75
12	0.938698075174894	3800	0.8
12	0.933268118197493	3778	0.85
12	0.926845415425356	3752	0.9
12	0.924128118098682	3741	0.95
12	0.918698062310406	3719	0.99
12	0.930631282749352	3767	1
13	0.584171408054972	4572	0.5
13	0.55708455674724	4360	0.6
13	0.541879725955285	4241	0.7
13	0.536641086774864	4200	0.75
13	0.5312753547266	4158	0.8
13	0.527826863589146	4131	0.85
13	0.52476033133881	4107	0.9
13	0.522717312279832	4091	0.95
13	0.51901257283042	4062	0.99
13	0.529514964803355	4144	1
14	0.344967670886517	9103	0.5
14	0.327838784112609	8651	0.6
14	0.319501651699619	8431	0.7
14	0.316621551411495	8355	0.75
14	0.313552208489102	8274	0.8
14	0.310937496447241	8205	0.85
14	0.308853328017772	8150	0.9
14	0.306806937868942	8096	0.95
14	0.305329105135986	8057	0.99
14	0.306243950725079	8081	1
15	0.216398833055069	11030	0.5
15	0.204647184212875	10431	0.6
15	0.198840037653064	10135	0.7
15	0.196760408250871	10029	0.75
15	0.194641578745085	9921	0.8
15	0.192895474470484	9832	0.85
15	0.191306323389106	9751	0.9
15	0.190090010729717	9689	0.95
15	0.189089470828074	9638	0.99
15	0.189700456132579	9669	1
16	0.168813807542645	8779	0.5
16	0.159391554612808	8289	0.6
16	0.154815014229675	8051	0.7
16	0.152757480193831	7944	0.75
16	0.150796121605285	7842	0.8
16	0.149238634903957	7761	0.85
16	0.148007959393862	7697	0.9
16	0.14671959596923	7630	0.95
16	0.145815930799063	7583	0.99
16	0.146182637148619	7602	1
