N	BeagleT	ShapeitT	BeagleM	ShapeitM	BeagleTrio	BeagleDuo	ShapeitTrio	ShapeitDuo
5000	402	608	1513552	809612	1.32964	1.87073	1.37425	1.9082
10000	828	1146	3264988	1497288	0.960919	1.39967	1.00251	1.44074
20000	1622	1892	6576744	2654316	0.658616	1.02326	0.699401	1.05662
50000	3628	3866	10448564	5291960	0.38719	0.677072	0.409934	0.692626
100000	7609	6951	26179636	9955332	0.257047	0.51422	0.258897	0.517811
200000	14440	10831	25937524	18751092	0.180758	0.419589	0.178214	0.42023
300000	25895	17848	37967532	27325696	0.159286	0.388912	0.153465	0.383175
400000	33534	18878	37363360	32222580	0.144791	0.370058	0.139626	0.368892
480853	40457	21643	43701468	38305184	0.13712	0.359716	0.127791	0.355215

